Date,Time,PC0.1_calibrated,PC0.1,PC0.3,PC0.5,PC1.0,PC2.5,PC5.0,PC10,PM0.1,PM0.3,PM0.5,PM1.0,PM2.5,PM5.0,PM10
2025/08/26,00:00:00,402650.360000,40265036,16106015,22052225,554717,923,0,0,18.40000487,416.34279350,2938.73561422,3446.36010679,3449.69715821,3449.69715821,3449.74073166
2025/08/26,00:00:01,403503.930000,40350393,16140157,22123465,556361,875,0,0,0.03137096,398.81772256,2929.35912456,3438.48821681,3441.65170936,3441.65170936,3441.68661763
2025/08/26,00:00:02,404416.570000,40441657,16176662,22198745,558038,828,0,0,0.11488757,399.80321382,2938.95543265,3449.61898447,3452.61466031,3452.61466031,3452.64956858
2025/08/26,00:00:03,405049.500000,40504950,16201980,22251493,559059,783,0,0,0.17280732,400.48668581,2945.67226727,3457.27028803,3460.10082853,3460.10082853,3460.13573680
2025/08/26,00:00:04,405263.630000,40526363,16210544,22263693,558786,736,0,0,0.19240208,400.71786937,2947.29894708,3458.64780663,3461.30950774,3461.30950774,3461.34441601
2025/08/26,00:00:05,405610.240000,40561024,16224410,22289454,558548,690,0,0,0.22412102,401.09218455,2950.61988441,3461.75034767,3464.24614734,3464.24614734,3464.27214286
2025/08/26,00:00:06,406042.700000,40604270,16241707,22322981,559315,646,0,0,0.26369524,401.55912453,2954.92172453,3466.75475257,3469.09256119,3469.09256119,3469.11855671
2025/08/26,00:00:07,406347.640000,40634764,16253905,22344615,560060,604,0,0,0.29160029,401.88841376,2957.72557661,3470.24035719,3472.42566397,3472.42566397,3472.45165949
2025/08/26,00:00:08,406002.780000,40600278,16240111,22305564,559291,561,0,0,0.26004268,401.51604689,2952.88648422,3464.69740789,3466.72511028,3466.72511028,3466.75110580
2025/08/26,00:00:09,405037.160000,40503716,16201485,22214887,557251,516,0,0,0.17167805,400.47332697,2941.47190257,3451.41550444,3453.28355709,3453.28355709,3453.30088743
2025/08/26,00:00:10,403745.810000,40374581,16149832,22096275,554466,473,0,0,0.05350555,399.07892065,2926.51031524,3433.90542385,3435.61548545,3435.61548545,3435.63281579
2025/08/26,00:00:11,402839.450000,40283945,16113577,22019349,552888,433,0,0,18.41730799,416.54694699,2935.17932154,3441.13006911,3442.69835073,3442.69835073,3442.71568107
2025/08/26,00:00:12,402530.080000,40253008,16101203,22000364,552765,408,0,0,18.38899755,416.21289662,2932.67369491,3438.51191564,3439.98971739,3439.98971739,3440.00704773
2025/08/26,00:00:13,402101.690000,40210169,16084067,21969445,552214,388,0,0,18.34979562,415.75029378,2928.67452508,3434.00899406,3435.41239330,3435.41239330,3435.42972364
2025/08/26,00:00:14,401557.000000,40155700,16062279,21928717,550715,366,0,0,18.29995039,415.16212290,2923.42780616,3427.39004452,3428.71598044,3428.71598044,3428.73331078
2025/08/26,00:00:15,400993.360000,40099336,16039734,21885408,549321,344,0,0,18.24837195,414.55351147,2917.86541572,3420.55217939,3421.79720814,3421.79720814,3421.80587331
2025/08/26,00:00:16,400562.080000,40056208,16022482,21856967,548459,320,0,0,18.20890528,414.08779587,2914.14647209,3416.04470964,3417.20168331,3417.20168331,3417.21034848
2025/08/26,00:00:17,400225.680000,40022568,16009028,21837489,547927,292,0,0,18.17812120,413.72457897,2911.55532143,3412.96706337,3414.02398447,3414.02398447,3414.03264964
2025/08/26,00:00:18,400007.810000,40000781,16000313,21827879,547710,257,0,0,18.15818311,413.48931062,2910.22082183,3411.43381663,3412.36324632,3412.36324632,3412.37191149
2025/08/26,00:00:19,399954.150000,39995415,15998165,21834442,547938,220,0,0,18.15327304,413.43134978,2910.91360593,3412.33491347,3413.13302846,3413.13302846,3413.14169363
2025/08/26,00:00:20,400231.650000,40023165,16009265,21872295,548963,187,0,0,18.17866722,413.73098850,2915.54295401,3417.90247968,3418.57897553,3418.57897553,3418.58764070
2025/08/26,00:00:21,400776.030000,40077603,16031041,21932397,550460,156,0,0,18.22848350,414.31885118,2923.00540657,3426.73483574,3427.30119679,3427.30119679,3427.30119679
2025/08/26,00:00:22,401402.220000,40140222,16056088,21997869,551807,129,0,0,18.28578690,414.99500570,2931.17039688,3436.13238414,3436.59997188,3436.59997188,3436.59997188
2025/08/26,00:00:23,401910.030000,40191003,16076400,22049766,552741,88,0,0,18.33225672,415.54333573,2937.65488564,3443.47113103,3443.78915126,3443.78915126,3443.78915126
2025/08/26,00:00:24,402203.260000,40220326,16088130,22078641,553041,53,0,0,18.35909041,415.85999411,2941.27440808,3447.36566824,3447.55798584,3447.55798584,3447.55798584
2025/08/26,00:00:25,402004.590000,40200459,16080184,22065130,552148,7,0,0,18.34091035,415.64547039,2939.51444591,3444.78887025,3444.81732815,3444.81732815,3444.81732815
2025/08/26,00:00:26,401698.840000,40169884,16067954,22073967,551300,0,0,0,18.31293083,415.31532489,2940.19511749,3444.69342455,3444.69342455,3444.69342455,3444.69342455
2025/08/26,00:00:27,401262.950000,40126295,16050517,22086484,550712,0,0,0,18.27304224,414.84460827,2941.15608997,3445.11619522,3445.11619522,3445.11619522,3445.11619522
2025/08/26,00:00:28,400595.670000,40059567,16023827,22089232,549992,0,0,0,18.21197873,414.12409586,2940.74993916,3444.05097825,3444.05097825,3444.05097825,3444.05097825
2025/08/26,00:00:29,399921.240000,39992124,15996850,22089965,549301,0,0,0,18.15026164,413.39583781,2940.10544184,3442.77423741,3442.77423741,3442.77423741,3442.77423741
2025/08/26,00:00:30,399143.390000,39914339,15965735,22079279,548524,0,0,0,18.07908017,412.55586703,2938.04318383,3440.00101304,3440.00101304,3440.00101304,3440.00101304
2025/08/26,00:00:31,398035.610000,39803561,15921425,22033312,546840,0,0,0,17.97770614,411.35969280,2931.58920998,3432.00540519,3432.00540519,3432.00540519,3432.00540519
